id,recipe_number,recipe_name,short_name,station,menu_portion_size,menu_portion_weight_g,gtin,sell_price,kcal_per_100g,color,kcal,fat_g,carbohydrates_g,total_sugars_g,protein_g,nutrition_summary,embedding_text
food_25735_1_886721121411,25735.1,Whole+Sum100: Sauteed Fresh Green Beans,Sauteed Fresh Green Beans,Main Dish- Sides,1 cup,137.245,886721121411,1.98,47.26948158,GREEN,64.875,1.879,11.642,5.28,2.646,"Kcal/100g: 47.26948158, Kcal: 64.875, Fat (g): 1.879, Carbohydrates (g): 11.642, Sugars (g): 5.28, Protein (g): 2.646","Recipe Whole+Sum100: Sauteed Fresh Green Beans. Short name Sauteed Fresh Green Beans. Station Main Dish- Sides. Portion 1 cup with weight 137.245 grams. Sell price 1.98 dollars. Color tag GREEN. Kcal/100g: 47.26948158, Kcal: 64.875, Fat (g): 1.879, Carbohydrates (g): 11.642, Sugars (g): 5.28, Protein (g): 2.646."
food_5856_3_886721391227,5856.3,Canteen BMW: Vegetable Medley with Turnips,Fresh Vegetable Medley,Main Dish- Sides,1 cup,232.931,886721391227,1.98,47.61753481,GREEN,110.916,5.531,13.848,6.502,4.246,"Kcal/100g: 47.61753481, Kcal: 110.916, Fat (g): 5.531, Carbohydrates (g): 13.848, Sugars (g): 6.502, Protein (g): 4.246","Recipe Canteen BMW: Vegetable Medley with Turnips. Short name Fresh Vegetable Medley. Station Main Dish- Sides. Portion 1 cup with weight 232.931 grams. Sell price 1.98 dollars. Color tag GREEN. Kcal/100g: 47.61753481, Kcal: 110.916, Fat (g): 5.531, Carbohydrates (g): 13.848, Sugars (g): 6.502, Protein (g): 4.246."
food_22288_3_886721415435,22288.3,Canteen BMW: Beef Barley Vegetable Soup,Beef Barley Soup,Main Dish- Sides,16 floz,467.962,886721415435,1.98,48.8216992,GREEN,228.467,6.145,33.911,4.063,10.47,"Kcal/100g: 48.8216992, Kcal: 228.467, Fat (g): 6.145, Carbohydrates (g): 33.911, Sugars (g): 4.063, Protein (g): 10.47","Recipe Canteen BMW: Beef Barley Vegetable Soup. Short name Beef Barley Soup. Station Main Dish- Sides. Portion 16 floz with weight 467.962 grams. Sell price 1.98 dollars. Color tag GREEN. Kcal/100g: 48.8216992, Kcal: 228.467, Fat (g): 6.145, Carbohydrates (g): 33.911, Sugars (g): 4.063, Protein (g): 10.47."
food_21447_886721098928,21447,HC Summer Succotash,Summer Succotash,Main Dish- Sides,1 cup,156.958,886721098928,1.98,51.45070656,GREEN,80.756,2.18,13.913,4.162,2.973,"Kcal/100g: 51.45070656, Kcal: 80.756, Fat (g): 2.18, Carbohydrates (g): 13.913, Sugars (g): 4.162, Protein (g): 2.973","Recipe HC Summer Succotash. Short name Summer Succotash. Station Main Dish- Sides. Portion 1 cup with weight 156.958 grams. Sell price 1.98 dollars. Color tag GREEN. Kcal/100g: 51.45070656, Kcal: 80.756, Fat (g): 2.18, Carbohydrates (g): 13.913, Sugars (g): 4.162, Protein (g): 2.973."
food_124215_194306155820,124215,EUR: Garlic Grilled Summer Squash,grilled summer squash,Main Dish- Sides,1 cup,291.02,194306155820,1.98,52.89224108,GREEN,153.927,12.294,10.359,7.576,3.122,"Kcal/100g: 52.89224108, Kcal: 153.927, Fat (g): 12.294, Carbohydrates (g): 10.359, Sugars (g): 7.576, Protein (g): 3.122","Recipe EUR: Garlic Grilled Summer Squash. Short name grilled summer squash. Station Main Dish- Sides. Portion 1 cup with weight 291.02 grams. Sell price 1.98 dollars. Color tag GREEN. Kcal/100g: 52.89224108, Kcal: 153.927, Fat (g): 12.294, Carbohydrates (g): 10.359, Sugars (g): 7.576, Protein (g): 3.122."
food_10520_5_886721365488,10520.5,EUR: Sauteed Green Beans and Cherry Tomatoes,green beans & cherry tomatoes,Main Dish- Sides,8 oz portion,226.796,886721365488,1.98,53.16275419,GREEN,120.571,6.54,15.101,6.814,3.284,"Kcal/100g: 53.16275419, Kcal: 120.571, Fat (g): 6.54, Carbohydrates (g): 15.101, Sugars (g): 6.814, Protein (g): 3.284","Recipe EUR: Sauteed Green Beans and Cherry Tomatoes. Short name green beans & cherry tomatoes. Station Main Dish- Sides. Portion 8 oz portion with weight 226.796 grams. Sell price 1.98 dollars. Color tag GREEN. Kcal/100g: 53.16275419, Kcal: 120.571, Fat (g): 6.54, Carbohydrates (g): 15.101, Sugars (g): 6.814, Protein (g): 3.284."
food_35015_12_886721280248,35015.12,Rooted Sub: Sauteed Kale,Sauteed Kale,Main Dish- Sides,1/2 cup,155.701,886721280248,1.98,54.14737221,GREEN,84.308,5.665,6.974,1.505,4.469,"Kcal/100g: 54.14737221, Kcal: 84.308, Fat (g): 5.665, Carbohydrates (g): 6.974, Sugars (g): 1.505, Protein (g): 4.469","Recipe Rooted Sub: Sauteed Kale. Short name Sauteed Kale. Station Main Dish- Sides. Portion 1/2 cup with weight 155.701 grams. Sell price 1.98 dollars. Color tag GREEN. Kcal/100g: 54.14737221, Kcal: 84.308, Fat (g): 5.665, Carbohydrates (g): 6.974, Sugars (g): 1.505, Protein (g): 4.469."
food_33992_8_886721159414,33992.8,HC Fresh Roasted Carrots,Roasted Carrots,Main Dish- Sides,1 cup,261.252,886721159414,1.98,54.24991962,GREEN,141.729,6.383,20.764,11.995,1.613,"Kcal/100g: 54.24991962, Kcal: 141.729, Fat (g): 6.383, Carbohydrates (g): 20.764, Sugars (g): 11.995, Protein (g): 1.613","Recipe HC Fresh Roasted Carrots. Short name Roasted Carrots. Station Main Dish- Sides. Portion 1 cup with weight 261.252 grams. Sell price 1.98 dollars. Color tag GREEN. Kcal/100g: 54.24991962, Kcal: 141.729, Fat (g): 6.383, Carbohydrates (g): 20.764, Sugars (g): 11.995, Protein (g): 1.613."
food_75314_6_886721632139,75314.6,EUR: Roasted Brussels Sprouts,roasted brussels sprouts,Main Dish- Sides,1 cup,175.128,886721632139,1.98,58.01813531,GREEN,101.606,5.395,12.134,2.96,4.347,"Kcal/100g: 58.01813531, Kcal: 101.606, Fat (g): 5.395, Carbohydrates (g): 12.134, Sugars (g): 2.96, Protein (g): 4.347","Recipe EUR: Roasted Brussels Sprouts. Short name roasted brussels sprouts. Station Main Dish- Sides. Portion 1 cup with weight 175.128 grams. Sell price 1.98 dollars. Color tag GREEN. Kcal/100g: 58.01813531, Kcal: 101.606, Fat (g): 5.395, Carbohydrates (g): 12.134, Sugars (g): 2.96, Protein (g): 4.347."
food_87388_886721803287,87388,EUR: Southern Style Bacon Green Beans,southern style green beans,Main Dish- Sides,8 ounce,188.99,886721803287,1.98,58.8517911,GREEN,111.224,5.52,9.813,4.35,7.141,"Kcal/100g: 58.8517911, Kcal: 111.224, Fat (g): 5.52, Carbohydrates (g): 9.813, Sugars (g): 4.35, Protein (g): 7.141","Recipe EUR: Southern Style Bacon Green Beans. Short name southern style green beans. Station Main Dish- Sides. Portion 8 ounce with weight 188.99 grams. Sell price 1.98 dollars. Color tag GREEN. Kcal/100g: 58.8517911, Kcal: 111.224, Fat (g): 5.52, Carbohydrates (g): 9.813, Sugars (g): 4.35, Protein (g): 7.141."
