Recipe Number,Recipe Name,Short Name,Station,Menu Portion Size,Menu Portion Weight(g),GTIN,Sell Price,Kcal/100g,COLOR,KCAL,FAT (g),CHO (g),Total Sugars (g),PRO (g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'22288.3,Canteen BMW: Beef Barley Vegetable Soup,Beef Barley Soup,Main Dish- Sides,16 floz,467.962,886721415435,$1.98 ,48.8216992,GREEN,228.467,6.145,33.911,4.063,10.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'21447,HC Summer Succotash,Summer Succotash,Main Dish- Sides,1 cup,156.958,886721098928,$1.98 ,51.45070656,GREEN,80.756,2.18,13.913,4.162+,2.973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'124215,EUR: Garlic Grilled Summer Squash,grilled summer squash,Main Dish- Sides,1 cup,291.02,194306155820,$1.98 ,52.89224108,GREEN,153.927,12.294,10.359,7.576,3.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'10520.5,EUR: Sauteed Green Beans and Cherry Tomatoes,green beans & cherry tomatoes,Main Dish- Sides,8 oz portion,226.796,886721365488,$1.98 ,53.16275419,GREEN,120.571,6.54,15.101,6.814,3.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'35015.12,Rooted Sub: Sauteed Kale,Sauteed Kale,Main Dish- Sides,1/2 cup,155.701,886721280248,$1.98 ,54.14737221,GREEN,84.308,5.665,6.974,1.505,4.469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'33992.8,HC Fresh Roasted Carrots,Roasted Carrots,Main Dish- Sides,1 cup,261.252,886721159414,$1.98 ,54.24991962,GREEN,141.729,6.383,20.764,11.995,1.613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'75314.6,EUR: Roasted Brussels Sprouts,roasted brussels sprouts,Main Dish- Sides,1 cup,175.128,886721632139,$1.98 ,58.01813531,GREEN,101.606,5.395,12.134,2.96,4.347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'87388,EUR: Southern Style Bacon Green Beans,southern style green beans,Main Dish- Sides,8 ounce,188.99,886721803287,$1.98 ,58.8517911,GREEN,111.224,5.52,9.813,4.35,7.141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'8289.2,EUR: Roasted Vegetables,Roasted Vegetables,Main Dish- Sides,1 cup,217.632,886721091400,$1.98 ,62.8363476,GREEN,136.752,9.582,12.52,6.986+,2.221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'9070.7,Canteen BMW: Fresh Italian Blend Vegetables,Fresh Italian Vegetables,Main Dish- Sides,1 cup,236.215,886721391371,$1.98 ,63.57640285,GREEN,150.177,11.626,10.433,5.465,4.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
